invoice_id,customer_id,product_id,time_id,branch_id,payment_id,quantity,tax_5_percent,sales,cogs,gross_margin_percentage,gross_income,rating
750-67-8428,1,1,1,1,1,7,26.1415,548.9715,522.83,4.761904762,26.1415,9.1
226-31-3081,2,2,2,2,2,5,3.82,80.22,76.4,4.761904762,3.82,9.6
631-41-3108,2,3,3,1,3,7,16.2155,340.5255,324.31,4.761904762,16.2155,7.4
123-19-1176,1,4,4,1,1,8,23.288,489.048,465.76,4.761904762,23.288,8.4
373-73-7910,1,5,5,1,1,7,30.2085,634.3785,604.17,4.761904762,30.2085,5.3
699-14-3026,1,6,6,2,1,7,29.8865,627.6165,597.73,4.761904762,29.8865,4.1
355-53-5943,1,7,7,1,1,6,20.652,433.692,413.04,4.761904762,20.652,5.8
315-22-5665,1,8,8,2,1,10,36.78,772.38,735.6,4.761904762,36.78,8.0
665-32-9167,1,9,9,1,3,2,3.626,76.146,72.52,4.761904762,3.626,7.2
692-92-5582,1,10,10,3,3,3,8.226,172.746,164.52,4.761904762,8.226,5.9
351-62-0822,1,11,11,3,1,4,2.896,60.816,57.92,4.761904762,2.896,4.5
529-56-3974,1,12,12,3,2,4,5.102,107.142,102.04,4.761904762,5.102,6.8
365-64-0515,1,13,13,1,1,5,11.7375,246.4875,234.75,4.761904762,11.7375,7.1
252-56-2699,1,14,14,1,1,10,21.595,453.495,431.9,4.761904762,21.595,8.2
829-34-3910,1,15,15,1,2,10,35.69,749.49,713.8,4.761904762,35.69,5.7
299-46-1805,1,16,16,3,2,6,28.116,590.436,562.32,4.761904762,28.116,4.5
656-95-9349,1,17,17,1,3,7,24.1255,506.6355,482.51,4.761904762,24.1255,4.6
765-26-6951,1,18,18,1,3,6,21.783,457.443,435.66,4.761904762,21.783,6.9
329-62-1586,1,19,19,1,3,3,8.2005,172.2105,164.01,4.761904762,8.2005,8.6
319-50-3348,1,20,20,3,1,2,4.03,84.63,80.6,4.761904762,4.03,4.4
300-71-4605,1,21,21,2,1,5,21.51,451.71,430.2,4.761904762,21.51,4.8
371-85-5789,1,22,22,3,1,3,13.197,277.137,263.94,4.761904762,13.197,5.1
273-16-6619,1,23,23,3,3,2,3.32,69.72,66.4,4.761904762,3.32,4.4
636-48-8204,1,24,24,1,1,5,8.64,181.44,172.8,4.761904762,8.64,9.9
549-59-1358,1,25,25,1,1,3,13.2945,279.1845,265.89,4.761904762,13.2945,6.0
227-03-5010,1,26,26,1,3,8,21.036,441.756,420.72,4.761904762,21.036,8.5
649-29-6775,1,27,27,3,2,1,1.676,35.196,33.52,4.761904762,1.676,6.7
189-17-4241,1,28,28,1,3,2,8.767,184.107,175.34,4.761904762,8.767,7.7
145-94-9061,1,29,29,3,2,5,22.09,463.89,441.8,4.761904762,22.09,9.6
848-62-7243,1,30,30,1,2,9,11.2005,235.2105,224.01,4.761904762,11.2005,7.4
871-79-8483,1,31,31,3,3,5,23.5325,494.1825,470.65,4.761904762,23.5325,4.8
149-71-6266,1,32,32,3,2,9,35.1315,737.7615,702.63,4.761904762,35.1315,4.5
640-49-2076,1,33,33,3,2,8,33.512,703.752,670.24,4.761904762,33.512,5.1
595-11-5460,1,34,34,1,3,2,9.658,202.818,193.16,4.761904762,9.658,5.1
183-56-6882,1,35,35,2,1,4,19.884,417.564,397.68,4.761904762,19.884,7.5
232-16-2483,1,36,36,2,1,1,3.406,71.526,68.12,4.761904762,3.406,6.8
129-29-8530,1,37,37,1,1,5,15.655,328.755,313.1,4.761904762,15.655,7.0
272-65-1806,1,38,38,1,1,9,27.396,575.316,547.92,4.761904762,27.396,4.7
333-73-7901,1,39,39,2,1,8,21.968,461.328,439.36,4.761904762,21.968,7.6
777-82-7220,1,40,40,3,2,8,12.048,253.008,240.96,4.761904762,12.048,7.7
280-35-5823,1,41,41,3,1,1,4.336,91.056,86.72,4.761904762,4.336,7.9
554-53-8700,1,42,42,2,2,2,5.611,117.831,112.22,4.761904762,5.611,6.3
354-25-5821,1,43,43,3,2,6,20.736,435.456,414.72,4.761904762,20.736,5.6
228-96-1411,1,44,44,2,2,8,39.48,829.08,789.6,4.761904762,39.48,7.6
617-15-4209,1,45,45,2,2,2,1.537,32.277,30.74,4.761904762,1.537,7.2
132-32-9879,1,46,46,3,2,4,18.792,394.632,375.84,4.761904762,18.792,9.5
370-41-7321,1,47,47,3,3,9,25.5105,535.7205,510.21,4.761904762,25.5105,8.4
727-46-3608,1,48,48,3,1,9,9.0045,189.0945,180.09,4.761904762,9.0045,4.1
669-54-1719,1,49,49,3,3,6,5.679,119.259,113.58,4.761904762,5.679,8.1
574-22-5561,1,50,50,2,1,10,41.315,867.615,826.3,4.761904762,41.315,7.9
326-78-5178,1,51,51,2,2,7,31.99,671.79,639.8,4.761904762,31.99,9.5
162-48-8011,1,52,52,1,2,5,11.1475,234.0975,222.95,4.761904762,11.1475,8.5
616-24-2851,1,53,53,3,1,4,3.574,75.054,71.48,4.761904762,3.574,6.5
778-71-5554,1,54,54,2,3,1,0.7715,16.2015,15.43,4.761904762,0.7715,6.1
242-55-6721,1,55,55,3,1,2,1.616,33.936,32.32,4.761904762,1.616,6.5
399-46-5918,1,56,56,2,2,8,34.392,722.232,687.84,4.761904762,34.392,8.2
106-35-6779,1,57,57,1,2,2,4.434,93.114,88.68,4.761904762,4.434,5.8
635-40-6220,1,58,58,1,1,8,35.84,752.64,716.8,4.761904762,35.84,6.6
817-48-8732,1,59,59,1,2,10,36.175,759.675,723.5,4.761904762,36.175,5.4
120-06-4233,1,60,60,2,2,6,9.183,192.843,183.66,4.761904762,9.183,9.3
285-68-5083,1,61,61,2,3,3,3.711,77.931,74.22,4.761904762,3.711,10.0
803-83-5989,1,62,62,2,1,6,16.719,351.099,334.38,4.761904762,16.719,7.0
347-34-2234,1,63,63,3,1,9,24.7815,520.4115,495.63,4.761904762,24.7815,10.0
199-75-8169,1,64,64,1,3,10,7.905,166.005,158.1,4.761904762,7.905,8.6
853-23-2453,1,65,65,3,2,4,15.148,318.108,302.96,4.761904762,15.148,7.6
877-22-3308,1,66,66,1,2,10,7.935,166.635,158.7,4.761904762,7.935,5.8
838-78-4295,1,67,67,2,1,2,3.347,70.287,66.94,4.761904762,3.347,6.7
109-28-2512,1,68,68,3,1,6,29.283,614.943,585.66,4.761904762,29.283,9.9
