time_id,date,time,year,month,day,quarter,weekday,is_weekend
1,2019-01-05,13:08:00,2019,1,5,1,5,True
2,2019-03-08,10:29:00,2019,3,8,1,4,False
3,2019-03-03,13:23:00,2019,3,3,1,6,True
4,2019-01-27,20:33:00,2019,1,27,1,6,True
5,2019-02-08,10:37:00,2019,2,8,1,4,False
6,2019-03-25,18:30:00,2019,3,25,1,0,False
7,2019-02-25,14:36:00,2019,2,25,1,0,False
8,2019-02-24,11:38:00,2019,2,24,1,6,True
9,2019-01-10,17:15:00,2019,1,10,1,3,False
10,2019-02-20,13:27:00,2019,2,20,1,2,False
11,2019-02-06,18:07:00,2019,2,6,1,2,False
12,2019-03-09,17:03:00,2019,3,9,1,5,True
13,2019-02-12,10:25:00,2019,2,12,1,1,False
14,2019-02-07,16:48:00,2019,2,7,1,3,False
15,2019-03-29,19:21:00,2019,3,29,1,4,False
16,2019-01-15,16:19:00,2019,1,15,1,1,False
17,2019-03-11,11:03:00,2019,3,11,1,0,False
18,2019-01-01,10:39:00,2019,1,1,1,1,False
19,2019-01-21,18:00:00,2019,1,21,1,0,False
20,2019-03-11,15:30:00,2019,3,11,1,0,False
21,2019-02-25,11:24:00,2019,2,25,1,0,False
22,2019-03-05,10:40:00,2019,3,5,1,1,False
23,2019-03-15,12:20:00,2019,3,15,1,4,False
24,2019-02-17,11:15:00,2019,2,17,1,6,True
25,2019-03-02,17:36:00,2019,3,2,1,5,True
26,2019-03-22,19:20:00,2019,3,22,1,4,False
27,2019-02-08,15:31:00,2019,2,8,1,4,False
28,2019-03-10,12:17:00,2019,3,10,1,6,True
29,2019-01-25,19:48:00,2019,1,25,1,4,False
30,2019-03-15,15:36:00,2019,3,15,1,4,False
31,2019-02-25,19:39:00,2019,2,25,1,0,False
32,2019-01-28,12:43:00,2019,1,28,1,0,False
33,2019-01-10,14:49:00,2019,1,10,1,3,False
34,2019-03-15,10:12:00,2019,3,15,1,4,False
35,2019-02-06,10:42:00,2019,2,6,1,2,False
36,2019-01-07,12:28:00,2019,1,7,1,0,False
37,2019-03-10,19:15:00,2019,3,10,1,6,True
38,2019-01-15,17:17:00,2019,1,15,1,1,False
39,2019-03-23,13:24:00,2019,3,23,1,5,True
40,2019-03-03,13:01:00,2019,3,3,1,6,True
41,2019-01-17,18:45:00,2019,1,17,1,3,False
42,2019-02-02,10:11:00,2019,2,2,1,5,True
43,2019-02-08,13:03:00,2019,2,8,1,4,False
44,2019-03-04,20:39:00,2019,3,4,1,0,False
45,2019-03-16,19:47:00,2019,3,16,1,5,True
46,2019-03-09,18:00:00,2019,3,9,1,5,True
47,2019-02-27,17:24:00,2019,2,27,1,2,False
48,2019-02-06,15:47:00,2019,2,6,1,2,False
49,2019-02-10,12:45:00,2019,2,10,1,6,True
50,2019-03-19,17:08:00,2019,3,19,1,1,False
51,2019-02-03,10:19:00,2019,2,3,1,6,True
52,2019-02-10,15:10:00,2019,2,10,1,6,True
53,2019-03-22,14:42:00,2019,3,22,1,4,False
54,2019-01-25,15:46:00,2019,1,25,1,4,False
55,2019-03-07,11:49:00,2019,3,7,1,3,False
56,2019-02-28,19:01:00,2019,2,28,1,3,False
57,2019-03-27,11:26:00,2019,3,27,1,2,False
58,2019-02-07,11:28:00,2019,2,7,1,3,False
59,2019-01-20,15:55:00,2019,1,20,1,6,True
60,2019-03-12,20:36:00,2019,3,12,1,1,False
61,2019-02-15,17:47:00,2019,2,15,1,4,False
62,2019-02-24,10:55:00,2019,2,24,1,6,True
63,2019-02-03,13:40:00,2019,2,3,1,6,True
64,2019-03-06,12:27:00,2019,3,6,1,2,False
65,2019-02-14,14:35:00,2019,2,14,1,3,False
66,2019-03-13,16:40:00,2019,3,13,1,2,False
67,2019-02-10,15:43:00,2019,2,10,1,6,True
