sales_id,invoice_id,customer_id,product_id,time_id,branch_id,payment_id,quantity,tax_5_percent,sales,cogs,gross_margin_percentage,gross_income,rating,created_at,updated_at
1,750-67-8428,1,1,1,1,1,7,26.14,548.97,522.83,4.76,26.14,9.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
2,226-31-3081,2,2,2,2,2,5,3.82,80.22,76.4,4.76,3.82,9.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
3,631-41-3108,2,3,3,1,3,7,16.22,340.53,324.31,4.76,16.22,7.4,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
4,123-19-1176,1,4,4,1,1,8,23.29,489.05,465.76,4.76,23.29,8.4,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
5,373-73-7910,1,5,5,1,1,7,30.21,634.38,604.17,4.76,30.21,5.3,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
6,699-14-3026,1,6,6,2,1,7,29.89,627.62,597.73,4.76,29.89,4.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
7,355-53-5943,1,7,7,1,1,6,20.65,433.69,413.04,4.76,20.65,5.8,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
8,315-22-5665,1,8,8,2,1,10,36.78,772.38,735.6,4.76,36.78,8.0,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
9,665-32-9167,1,9,9,1,3,2,3.63,76.15,72.52,4.76,3.63,7.2,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
10,692-92-5582,1,10,10,3,3,3,8.23,172.75,164.52,4.76,8.23,5.9,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
11,351-62-0822,1,11,11,3,1,4,2.9,60.82,57.92,4.76,2.9,4.5,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
12,529-56-3974,1,12,12,3,2,4,5.1,107.14,102.04,4.76,5.1,6.8,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
13,365-64-0515,1,13,13,1,1,5,11.74,246.49,234.75,4.76,11.74,7.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
14,252-56-2699,1,14,14,1,1,10,21.6,453.5,431.9,4.76,21.6,8.2,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
15,829-34-3910,1,15,15,1,2,10,35.69,749.49,713.8,4.76,35.69,5.7,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
16,299-46-1805,1,16,16,3,2,6,28.12,590.44,562.32,4.76,28.12,4.5,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
17,656-95-9349,1,17,17,1,3,7,24.13,506.64,482.51,4.76,24.13,4.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
18,765-26-6951,1,18,18,1,3,6,21.78,457.44,435.66,4.76,21.78,6.9,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
19,329-62-1586,1,19,19,1,3,3,8.2,172.21,164.01,4.76,8.2,8.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
20,319-50-3348,1,20,20,3,1,2,4.03,84.63,80.6,4.76,4.03,4.4,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
21,300-71-4605,1,21,21,2,1,5,21.51,451.71,430.2,4.76,21.51,4.8,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
22,371-85-5789,1,22,22,3,1,3,13.2,277.14,263.94,4.76,13.2,5.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
23,273-16-6619,1,23,23,3,3,2,3.32,69.72,66.4,4.76,3.32,4.4,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
24,636-48-8204,1,24,24,1,1,5,8.64,181.44,172.8,4.76,8.64,9.9,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
25,549-59-1358,1,25,25,1,1,3,13.29,279.18,265.89,4.76,13.29,6.0,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
26,227-03-5010,1,26,26,1,3,8,21.04,441.76,420.72,4.76,21.04,8.5,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
27,649-29-6775,1,27,27,3,2,1,1.68,35.2,33.52,4.76,1.68,6.7,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
28,189-17-4241,1,28,28,1,3,2,8.77,184.11,175.34,4.76,8.77,7.7,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
29,145-94-9061,1,29,29,3,2,5,22.09,463.89,441.8,4.76,22.09,9.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
30,848-62-7243,1,30,30,1,2,9,11.2,235.21,224.01,4.76,11.2,7.4,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
31,871-79-8483,1,31,31,3,3,5,23.53,494.18,470.65,4.76,23.53,4.8,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
32,149-71-6266,1,32,32,3,2,9,35.13,737.76,702.63,4.76,35.13,4.5,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
33,640-49-2076,1,33,33,3,2,8,33.51,703.75,670.24,4.76,33.51,5.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
34,595-11-5460,1,34,34,1,3,2,9.66,202.82,193.16,4.76,9.66,5.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
35,183-56-6882,1,35,35,2,1,4,19.88,417.56,397.68,4.76,19.88,7.5,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
36,232-16-2483,1,36,36,2,1,1,3.41,71.53,68.12,4.76,3.41,6.8,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
37,129-29-8530,1,37,37,1,1,5,15.66,328.76,313.1,4.76,15.66,7.0,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
38,272-65-1806,1,38,38,1,1,9,27.4,575.32,547.92,4.76,27.4,4.7,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
39,333-73-7901,1,39,39,2,1,8,21.97,461.33,439.36,4.76,21.97,7.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
40,777-82-7220,1,40,40,3,2,8,12.05,253.01,240.96,4.76,12.05,7.7,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
41,280-35-5823,1,41,41,3,1,1,4.34,91.06,86.72,4.76,4.34,7.9,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
42,554-53-8700,1,42,42,2,2,2,5.61,117.83,112.22,4.76,5.61,6.3,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
43,354-25-5821,1,43,43,3,2,6,20.74,435.46,414.72,4.76,20.74,5.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
44,228-96-1411,1,44,44,2,2,8,39.48,829.08,789.6,4.76,39.48,7.6,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
45,617-15-4209,1,45,45,2,2,2,1.54,32.28,30.74,4.76,1.54,7.2,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
46,132-32-9879,1,46,46,3,2,4,18.79,394.63,375.84,4.76,18.79,9.5,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
47,370-41-7321,1,47,47,3,3,9,25.51,535.72,510.21,4.76,25.51,8.4,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
48,727-46-3608,1,48,48,3,1,9,9.0,189.09,180.09,4.76,9.0,4.1,2025-12-23 21:27:20.596647,2025-12-23 21:27:20.596647
