invoice_id,customer_type,gender,product_line,unit_price,date,time,year,month,quarter,branch,city,payment_method,quantity,tax_5_percent,sales,cogs,gross_margin_percentage,gross_income,rating
750-67-8428,Member,Female,Health and beauty,74.69,2019-01-05,13:08:00,2019,1,1,Alex,Yangon,Ewallet,7,26.14,548.97,522.83,4.76,26.14,9.1
226-31-3081,Normal,Female,Electronic accessories,15.28,2019-03-08,10:29:00,2019,3,1,Giza,Naypyitaw,Cash,5,3.82,80.22,76.4,4.76,3.82,9.6
631-41-3108,Normal,Female,Home and lifestyle,46.33,2019-03-03,13:23:00,2019,3,1,Alex,Yangon,Credit card,7,16.22,340.53,324.31,4.76,16.22,7.4
123-19-1176,Member,Female,Health and beauty,58.22,2019-01-27,20:33:00,2019,1,1,Alex,Yangon,Ewallet,8,23.29,489.05,465.76,4.76,23.29,8.4
373-73-7910,Member,Female,Sports and travel,86.31,2019-02-08,10:37:00,2019,2,1,Alex,Yangon,Ewallet,7,30.21,634.38,604.17,4.76,30.21,5.3
699-14-3026,Member,Female,Electronic accessories,85.39,2019-03-25,18:30:00,2019,3,1,Giza,Naypyitaw,Ewallet,7,29.89,627.62,597.73,4.76,29.89,4.1
355-53-5943,Member,Female,Electronic accessories,68.84,2019-02-25,14:36:00,2019,2,1,Alex,Yangon,Ewallet,6,20.65,433.69,413.04,4.76,20.65,5.8
315-22-5665,Member,Female,Home and lifestyle,73.56,2019-02-24,11:38:00,2019,2,1,Giza,Naypyitaw,Ewallet,10,36.78,772.38,735.6,4.76,36.78,8.0
665-32-9167,Member,Female,Health and beauty,36.26,2019-01-10,17:15:00,2019,1,1,Alex,Yangon,Credit card,2,3.63,76.15,72.52,4.76,3.63,7.2
692-92-5582,Member,Female,Food and beverages,54.84,2019-02-20,13:27:00,2019,2,1,Cairo,Mandalay,Credit card,3,8.23,172.75,164.52,4.76,8.23,5.9
351-62-0822,Member,Female,Fashion accessories,14.48,2019-02-06,18:07:00,2019,2,1,Cairo,Mandalay,Ewallet,4,2.9,60.82,57.92,4.76,2.9,4.5
529-56-3974,Member,Female,Electronic accessories,25.51,2019-03-09,17:03:00,2019,3,1,Cairo,Mandalay,Cash,4,5.1,107.14,102.04,4.76,5.1,6.8
365-64-0515,Member,Female,Electronic accessories,46.95,2019-02-12,10:25:00,2019,2,1,Alex,Yangon,Ewallet,5,11.74,246.49,234.75,4.76,11.74,7.1
252-56-2699,Member,Female,Food and beverages,43.19,2019-02-07,16:48:00,2019,2,1,Alex,Yangon,Ewallet,10,21.6,453.5,431.9,4.76,21.6,8.2
